N,kappa,eps_F,trial,lambda,J,K,err
4,100,0.01,25,2.4141894488688553,1490,1834,0.0017675123084687893
4,100,0.01,26,1.9122271779133597,1163,1426,0.001832213893972948
4,100,0.01,27,2.1529645954078918,1319,1620,0.001795741387962235
4,100,0.01,28,2.3251655693233184,1431,1761,0.0017759204132832716
4,100,0.01,29,1.5049589651256499,902,1101,0.0019199906513301074
4,100,0.01,30,2.0634395473118525,1261,1548,0.0018080518598307938
4,100,0.01,31,2.1936199451044196,1345,1654,0.0017906190457492848
4,100,0.01,32,1.9448637128110402,1184,1452,0.0018266268781384292
4,100,0.01,33,1.9166664734405103,1165,1429,0.001831439552483135
4,100,0.01,34,1.8418501437889767,1117,1369,0.0018449742442350659
4,100,0.01,35,1.653571537007526,996,1218,0.0018840522609807541
4,100,0.01,36,2.3715156603444383,1462,1799,0.0017713942644773505
4,100,0.01,37,2.4186398157466087,1493,1838,0.0017671233589369006
4,100,0.01,38,1.978727370422059,1206,1479,0.0018210485847616222
4,100,0.01,39,2.3740979260884725,1464,1801,0.0017711514624189758
4,100,0.01,40,1.7350573729720156,1049,1283,0.001866247653890708
4,100,0.01,41,2.0550928917404403,1255,1541,0.0018092724445847323
4,100,0.01,42,1.7447231378474868,1055,1291,0.0018642275723651594
4,100,0.01,43,1.4566767090730353,871,1062,0.001932574891080832
4,100,0.01,44,1.7580286418526174,1063,1302,0.001861478023023769
4,100,0.01,45,1.8184985224684365,1102,1350,0.0018494270172005496
4,100,0.01,46,1.6785940371988193,1012,1238,0.0018784403875553362
4,100,0.01,47,1.7736724385638771,1073,1314,0.0018582866971475914
4,100,0.01,48,1.8005164396018067,1091,1336,0.0018529341071391288
4,100,0.01,49,1.9587109444579736,1193,1463,0.0018243189554215122
4,100,0.01,50,2.4169564245640442,1492,1836,0.0017672694502762916
4,100,0.01,51,1.73210183802,1047,1281,0.0018668715996841573
4,100,0.01,52,2.634107051063583,1635,2015,0.001751521440319777
4,100,0.01,53,1.863887032879476,1131,1387,0.0018408731542244768
4,100,0.01,54,2.1030805005655573,1286,1580,0.0018024243316940595
4,100,0.01,55,1.9813496990436825,1207,1481,0.0018206255341819985
4,100,0.01,56,2.3839611202549205,1470,1809,0.001770233984634791
4,100,0.01,57,2.0446537561036955,1248,1533,0.00181081938549419
4,100,0.01,58,2.021994065792453,1234,1514,0.0018142418436911966
4,100,0.01,59,2.200868407512846,1350,1659,0.001789732989486716
4,100,0.01,60,2.485709151448554,1537,1893,0.0017615959905160296
4,100,0.01,61,1.9256172987990898,1171,1436,0.0018298939272278208
4,100,0.01,62,2.5992228787171996,1612,1986,0.0017536347592378388
4,100,0.01,63,1.755715016917211,1062,1300,0.0018619530385797537
4,100,0.01,64,1.786900167388849,1082,1325,0.001855631606075603
4,100,0.01,65,2.02415215145078,1235,1516,0.0018139123779617346
4,100,0.01,66,1.6003186367405267,962,1176,0.001896423576773237
4,100,0.01,67,1.73498982501003,1048,1283,0.0018662621787013008
4,100,0.01,68,1.807719462930747,1095,1342,0.0018515232774964918
4,100,0.01,69,1.6264363849505872,979,1197,0.0018902869470335665
4,100,0.01,70,1.7933217660867584,1086,1330,0.0018543538440958928
4,100,0.01,71,1.6933191681787565,1022,1250,0.0018751991866673167
4,100,0.01,72,2.5563970515974828,1584,1951,0.0017564399007756384
4,100,0.01,73,1.8655635989829478,1132,1388,0.0018405635345490419
4,100,0.01,74,1.9110229234683653,1162,1425,0.0018324238473013108
4,100,0.01,75,2.338085452949505,1440,1772,0.0017746263738499767
4,100,0.01,76,2.2069037028535137,1354,1664,0.0017890039248244654
4,100,0.01,77,2.4592906436456063,1520,1871,0.0017636971104447704
4,100,0.01,78,2.6701447902277247,1659,2045,0.0017494941223765062
4,100,0.01,79,2.3533212258956673,1450,1784,0.0017731317889555416
4,100,0.01,80,1.6720041867249587,1008,1233,0.0018799075761390775
4,100,0.01,81,2.3734631508749517,1463,1800,0.0017712102866807896
4,100,0.01,82,1.6376531260294795,986,1206,0.0018876936893944534
4,100,0.01,83,1.8582180789787779,1128,1382,0.001841917245288604
4,100,0.01,84,2.6423138325106286,1641,2022,0.0017510460611080225
4,100,0.01,85,2.0483835968788076,1251,1536,0.0018102648184298092
4,100,0.01,86,1.8029273476182,1092,1338,0.0018524607041874388
4,100,0.01,87,2.548064365546028,1578,1944,0.001757012995114004
4,100,0.01,88,2.0523500403037045,1253,1539,0.0018096772842241577
4,100,0.01,89,2.024424291807503,1235,1516,0.0018138700948233638
4,100,0.01,90,2.3112027004243965,1422,1750,0.0017773495330427568
4,100,0.01,91,1.593687043641328,958,1171,0.0018980059323356233
4,100,0.01,92,2.1680405787546766,1329,1633,0.0017938097982692653
4,100,0.01,93,1.8224319055118057,1105,1353,0.0018486683437955106
4,100,0.01,94,1.7311971406384319,1046,1280,0.0018670608350936921
4,100,0.01,95,1.8538632614822608,1125,1379,0.0018427273187805516
4,100,0.01,96,1.7660746656085466,1068,1308,0.0018598294289133052
4,100,0.01,97,1.9451639966110734,1184,1452,0.00182657556161141
4,100,0.01,98,1.5132966634259764,907,1107,0.001917854983341498
4,100,0.01,99,2.7370887634706778,1703,2100,0.0017461333661051518
4,100,0.001,0,1.8114809660243023,1314,1612,0.0002073193579205889
4,100,0.001,1,2.287397325035003,1679,2067,0.00020303313201612487
4,100,0.001,2,2.3043946054937225,1692,2083,0.00020284753771679178
4,100,0.001,3,1.5780349497224417,1137,1391,0.0002082225040970175
4,100,0.001,4,2.024899353870774,1477,1815,0.00020567278191481407
4,100,0.001,5,2.27990521933663,1673,2060,0.00020311459783567848
4,100,0.001,6,1.762633889439976,1277,1565,0.00020760071372838778
4,100,0.001,7,2.020472891691509,1474,1811,0.00020571264596096585
4,100,0.001,8,1.9839535412574316,1446,1776,0.00020603272381114902
4,100,0.001,9,2.3480394173055523,1726,2125,0.0002023658862369154
4,100,0.001,10,1.8871547190387838,1372,1684,0.00020680571296064664
